year,university,degree,value,lastvalue,Rank
2013,SMU,Law (Cum Laude and above) ,5547,0,1
2013,SMU,Law ,5000,0,2
2013,NUS,Bachelor of Laws ,5000,0,3
2013,NUS,Bachelor of Medicine and Bachelor of Surgery ,4500,0,4
2013,NUS,Bachelor of Dental Surgery,4000,0,5
2013,SMU,Information Systems Management (Cum Laude and above),3800,0,6
2013,SMU,Economics (Cum Laude and above),3600,0,7
2013,SMU,Business Management (Cum Laude and above),3580,0,8
2013,NTU,Aerospace Engineering,3500,0,9
2013,NUS,Bachelor of Science (Pharmacy) (Hons) ,3500,0,10
2013,NTU,Arts (with Education),3498,0,11
2013,NTU,Science (with Education),3498,0,12
2013,NUS,Bachelor of Computing (Computer Science),3425,0,13
2013,NTU,Business and Computing,3400,0,14
2013,NTU,Accountancy and Business,3350,0,15
2013,SMU,Economics,3339,0,16
2013,SMU,Information Systems Management,3300,0,17
2013,NTU,Physics and Applied Physics,3300,0,18
2013,NUS,Bachelor of Engineering (Mechanical Engineering),3225,0,19
2013,SMU,Social Sciences (Cum Laude and above),3200,0,20
2013,NTU,Chemical and Biomolecular Engineering,3200,0,21
2013,NTU,Information Engineering and Media,3200,0,22
2013,NUS,Bachelor of Arts (Hons),3200,0,23
2013,NUS,Bachelor of Business Administration (Hons),3200,0,24
2013,NUS,Bachelor of Engineering (Computer Engineering),3200,0,25
2013,NUS,Bachelor of Engineering (Electrical Engineering),3200,0,26
2013,NUS,Bachelor of Engineering (Industrial and Systems Engineering),3200,0,27
2013,NUS,Bachelor of Social Sciences,3200,0,28
2013,NTU,Computer Engineering,3175,0,29
2013,NUS,Bachelor of Engineering (Chemical Engineering),3175,0,30
2013,NTU,Bioengineering,3125,0,31
2013,NTU,Computer Science,3125,0,32
2013,NUS,Bachelor of Engineering (Environmental Engineering),3110,0,33
2013,NTU,Chemistry and Biological Chemistry,3100,0,34
2013,NTU,Civil Engineering,3100,0,35
2013,NTU,Electrical and Electronic Engineering,3100,0,36
2013,NTU,English,3100,0,37
2013,NTU,Mechanical Engineering,3100,0,38
2013,NTU,Sociology,3100,0,39
2013,NUS,Bachelor of Science (Hons),3100,0,40
2013,NUS,Bachelor of Computing (Electronic Commerce),3080,0,41
2013,NUS,Bachelor of Computing (Communications and Media),3050,0,42
2013,NUS,Bachelor of Engineering (Civil Engineering),3050,0,43
2013,NUS,Bachelor of Science (Nursing) (Hons),3025,0,44
2013,NUS,Bachelor of Computing (Information Systems),3005,0,45
2013,SMU,Accountancy (Cum Laude and above),3000,0,46
2013,SMU,Social Sciences,3000,0,47
2013,NTU,Biological Sciences,3000,0,48
2013,NTU,Business,3000,0,49
2013,NTU,Chinese,3000,0,50
2013,NTU,Communication Studies,3000,0,51
2013,NTU,Economics,3000,0,52
2013,NTU,Environmental Engineering,3000,0,53
2013,NTU,Maritime Studies,3000,0,54
2013,NTU,Materials Engineering,3000,0,55
2013,NTU,Mathematical Sciences,3000,0,56
2013,NTU,Psychology,3000,0,57
2013,NTU,Sports Science and Management,3000,0,58
2013,NUS,Bachelor of Business Administration,3000,0,59
2013,NUS,Bachelor of Engineering (Biomedical Engineering),3000,0,60
2013,NUS,Bachelor of Engineering (Engineering Science),3000,0,61
2013,NUS,Bachelor of Engineering (Materials Science and Engineering),3000,0,62
2013,NUS,Bachelor of Science (Project and Facilities Management),3000,0,63
2013,NUS,Bachelor of Science (Nursing),2950,0,64
2013,NUS,Bachelor of Applied Science (Hons),2900,0,65
2013,NUS,Bachelor of Science (Real Estate),2900,0,66
2013,NTU,Biomedical Sciences and Chinese Medicine ,2807,0,67
2013,NUS,Bachelor of Arts,2800,0,68
2013,NUS,Bachelor of Business Administration (Accountancy) (Hons),2800,0,69
2013,NUS,Bachelor of Science,2800,0,70
2013,NTU,Accountancy,2700,0,71
2013,NUS,Bachelor of Business Administration (Accountancy),2700,0,72
2013,NUS,Bachelor of Arts (Industrial Design),2650,0,73
2013,NTU,Linguistics and Multilingual Studies,2625,0,74
2013,NTU,"Art, Design and Media",2500,0,75
2013,NTU,Biomedical Sciences **,na,na,na
2013,NTU,Mathematics and Economics **,na,na,na
2013,NUS,Bachelor of Applied Science **,na,na,na
2013,NUS,Bachelor of Arts (Architecture) ** ,na,na,na
2013,NUS,Bachelor of Computing (Computational Biology) **,na,na,na
2013,NUS,Bachelor of Computing (Computer Engineering) **,na,na,na
2013,NUS,Bachelor of Music **,na,na,na
2013,NUS,Bachelor of Science (Computational Biology) **,na,na,na
2014,SMU,Law (Cum Laude and above) ,5800,5547,1
2014,NUS,Bachelor of Laws ,5150,5000,2
2014,SMU,Law ,5025,5000,3
2014,NUS,Bachelor of Medicine and Bachelor of Surgery ,5000,4500,4
2014,NUS,Bachelor of Arts (Architecture) ,4275,0,5
2014,SMU,Information Systems Management (Cum Laude and above),4050,3800,6
2014,NUS,Bachelor of Dental Surgery,4000,4000,7
2014,SMU,Economics (Cum Laude and above),3800,3600,8
2014,NTU,Aerospace Engineering,3770,3500,9
2014,NUS,Bachelor of Science (Pharmacy) (Hons) ,3630,3500,10
2014,SMU,Business Management (Cum Laude and above),3600,3580,11
2014,NUS,Bachelor of Engineering (Industrial and Systems Engineering),3600,3200,12
2014,SMU,Social Sciences (Cum Laude and above),3590,3200,13
2014,NUS,Bachelor of Business Administration (Hons),3520,3200,14
2014,SIT,Bachelor of Science with Honours in Nursing Practice,3511,0,15
2014,SIT,Bachelor of Engineering with Honours in Naval Architecture,3500,0,16
2014,SMU,Accountancy (Cum Laude and above),3500,3000,17
2014,SMU,Economics,3500,3339,18
2014,NUS,Bachelor of Computing (Computer Science),3500,3425,19
2014,NUS,Bachelor of Computing (Information Systems),3500,3005,20
2014,NUS,Bachelor of Engineering (Computer Engineering),3500,3200,21
2014,NUS,Bachelor of Science (Nursing) (Hons),3500,3025,22
2014,NTU,Arts (with Education),3475,3498,23
2014,NTU,Science (with Education),3475,3498,24
2014,NTU,Business and Computing,3450,3400,25
2014,NTU,Chemical and Biomolecular Engineering,3400,3200,26
2014,NTU,Computer Engineering,3400,3175,27
2014,NUS,Bachelor of Engineering (Engineering Science),3400,3000,28
2014,SMU,Information Systems Management,3350,3300,29
2014,SIT,Bachelor of Engineering with Honours in Chemical Engineering,3300,0,30
2014,SIT,Bachelor of Engineering with Honours in Offshore Engineering,3300,0,31
2014,NTU,Accountancy and Business,3300,3350,32
2014,NUS,Bachelor of Arts (Hons),3300,3200,33
2014,NUS,Bachelor of Engineering (Chemical Engineering),3300,3175,34
2014,NUS,Bachelor of Engineering (Electrical Engineering),3300,3200,35
2014,NUS,Bachelor of Engineering (Materials Science and Engineering),3300,3000,36
2014,SIT,Bachelor of Engineering with Honours in Marine Engineering,3260,0,37
2014,SIT,Bachelor of Engineering with Honours in Mechanical Design Engineering,3250,0,38
2014,NUS,Bachelor of Social Sciences,3250,3200,39
2014,NTU,Linguistics and Multilingual Studies,3230,2625,40
2014,NUS,Bachelor of Engineering (Environmental Engineering),3230,3110,41
2014,NUS,Bachelor of Science (Hons),3210,3100,42
2014,NUS,Bachelor of Engineering (Civil Engineering),3208,3050,43
2014,SIT,Bachelor in Science (Physiotherapy),3200,0,44
2014,SIT,Bachelor of Science in Chemical Engineering,3200,0,45
2014,NTU,Computer Science,3200,3125,46
2014,NTU,Economics,3200,3000,47
2014,NTU,Electrical and Electronic Engineering,3200,3100,48
2014,NTU,Information Engineering and Media,3200,3200,49
2014,NTU,Mathematical Sciences,3200,3000,50
2014,NTU,Mathematics and Economics,3200,0,51
2014,NUS,Bachelor of Computing (Electronic Commerce),3200,3080,52
2014,NUS,Bachelor of Engineering (Mechanical Engineering),3200,3225,53
2014,NUS,Bachelor of Science (Nursing),3200,2950,54
2014,SIT,Bachelor of Engineering with Honours in Aerospace Systems,3150,0,55
2014,NTU,Materials Engineering,3150,3000,56
2014,SIT,Bachelor in Science (Occupational Therapy),3100,0,57
2014,SIT,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,3100,0,58
2014,SIT,Bachelor of Engineering with Honours in Mechatronics,3100,0,59
2014,NTU,Business,3100,3000,60
2014,NTU,Chemistry and Biological Chemistry,3100,3100,61
2014,NTU,Civil Engineering,3100,3100,62
2014,NTU,English,3100,3100,63
2014,NTU,Mechanical Engineering,3100,3100,64
2014,NTU,Physics and Applied Physics,3100,3300,65
2014,NTU,Psychology,3100,3000,66
2014,NTU,Sociology,3100,3100,67
